supervised
Category,NMI,ARI,F1
---,---,---,---
TAU=0
MVTec(object),0.6040772305994505,0.4953571655551501,0.6861063464837049
MVTec(texture),0.7574838540327289,0.6930358181111724,0.8055555555555556
---,---,---,---
TAU=3
bottle,0.6732666410463943,0.5964994253366095,0.8072289156626506
cable,0.8176780957134502,0.7439492449646635,0.8057553956834532
capsule,0.3374572665045461,0.18457400736929092,0.4242424242424243
hazelnut,0.8419616307635222,0.8482241966038337,0.9272727272727272
metal_nut,0.6148268558667754,0.5271098145808476,0.7391304347826085
pill,0.5261902740809976,0.27969699772159773,0.52
screw,0.4061850196992286,0.27697089938952085,0.53125
toothbrush,0.18007427918395055,-0.05087685488533436,0.5476190476190477
transistor,0.6074085105501649,0.5089785717591522,0.8000000000000002
zipper,0.4917657976628497,0.35314521421205586,0.5111111111111111
carpet,0.6662964058775522,0.5973829518306328,0.7606837606837606
grid,0.5913542395511585,0.5095541401273885,0.6923076923076923
leather,0.8287095000145018,0.7328510894629952,0.7258064516129032
tile,0.9460515057416965,0.9287616795775376,0.9743589743589743
wood,0.6377006611517124,0.47005546584287017,0.7058823529411765
MVTec(object),0.5626193063701032,0.44074612639701044,0.6492281303602059
MVTec(texture),0.7557419827471372,0.6768679594750374,0.7837301587301587
---,---,---,---
TAU=4
bottle,0.7215144722592937,0.6729586999093912,0.8554216867469879
cable,0.8242981301695935,0.7255572306892716,0.8345323741007193
capsule,0.3339882613815285,0.16516806717649302,0.4318181818181818
hazelnut,0.8021922811154647,0.7609623192858774,0.7818181818181819
metal_nut,0.7161706852312125,0.627615418402225,0.7652173913043478
pill,0.44011681292606786,0.22623006803219536,0.44666666666666666
screw,0.31876089015234976,0.1414746343878,0.425
toothbrush,0.18007427918395055,-0.05087685488533436,0.5476190476190477
transistor,0.6553846273510423,0.6527826433601913,0.78
zipper,0.5696506138212954,0.4295075381565503,0.5851851851851851
carpet,0.5708727361010569,0.44244743796235714,0.6324786324786325
grid,0.572607046579965,0.3980213089802131,0.6410256410256411
leather,0.784646385893754,0.708896212664421,0.8306451612903226
tile,0.9085820111334929,0.8944900939799085,0.9487179487179487
wood,0.5848746420203563,0.4213025927314297,0.6764705882352942
MVTec(object),0.5627564761644411,0.43918288683716505,0.6286449399656947
MVTec(texture),0.7040221876347011,0.6032124206623554,0.7619047619047619
---,---,---,---
TAU=8
bottle,0.616514442373557,0.5022630706741571,0.6626506024096386
cable,0.7605018712296266,0.676940081239317,0.7266187050359713
capsule,0.2976686936262784,0.1469337304729142,0.38636363636363635
hazelnut,0.6389933603372246,0.5814517386091981,0.7636363636363637
metal_nut,0.6849524012076721,0.5530777284817517,0.7043478260869566
pill,0.3638736579529648,0.11337660881886204,0.36666666666666664
screw,0.12848953813369715,0.05319148936170213,0.3
toothbrush,0.23161548406865165,0.019319227230910764,0.6190476190476191
transistor,0.5241692215078775,0.40935593220338984,0.74
zipper,0.5194244953068721,0.3058402084993406,0.5555555555555556
carpet,0.5638478462282323,0.4555764557736323,0.5641025641025641
grid,0.1597503364236701,0.023014329948873046,0.32051282051282054
leather,0.6940624743045211,0.5562044666551387,0.6532258064516129
tile,0.9279639680530851,0.895693985689016,0.9572649572649573
wood,0.6142874884931148,0.384020086053161,0.6617647058823529
MVTec(object),0.47396052855489207,0.3355865755876568,0.5574614065180102
MVTec(texture),0.6246781836175651,0.5059057125079248,0.6527777777777778
---,---,---,---
TAU=10
bottle,0.5489615049266546,0.42955909253488317,0.6385542168674698
cable,0.6807988939443608,0.41776923940093064,0.5539568345323741
capsule,0.22343686133399138,0.08292245629762439,0.30303030303030304
hazelnut,0.537121528626092,0.3687456482681814,0.6272727272727273
metal_nut,0.6655284420090981,0.5449466162390576,0.7043478260869566
pill,0.42197774877484845,0.20765928727574953,0.38
screw,0.10936994429006407,0.03260441172034757,0.275
toothbrush,0.23161548406865165,0.019319227230910764,0.6190476190476191
transistor,0.5241692215078775,0.40935593220338984,0.74
zipper,0.610363312542134,0.4874328746291557,0.674074074074074
carpet,0.6018016853401633,0.4730418381830821,0.5811965811965812
grid,0.15151550840266023,0.029266096352994146,0.3333333333333333
leather,0.8098862027962032,0.7253823248715423,0.7419354838709677
tile,0.8534151683570007,0.7864727182000306,0.8376068376068376
wood,0.49151501847316337,0.30898948455470787,0.6323529411764706
MVTec(object),0.45510062514637944,0.30172899928901714,0.5248713550600344
MVTec(texture),0.6268402617874602,0.5170727219169624,0.6488095238095238
---,---,---,---
TAU=12
bottle,0.616514442373557,0.5022630706741571,0.6626506024096386
cable,0.7071913325915291,0.4317097443602123,0.5683453237410072
capsule,0.21636861975018423,0.09130490979776468,0.3409090909090909
hazelnut,0.4082471561909534,0.24569449254559797,0.5727272727272728
metal_nut,0.8071630552151927,0.6980399152224724,0.8521739130434782
pill,0.4221202151212471,0.20399354297132657,0.42666666666666675
screw,0.04605045258416142,0.003744287986426629,0.26875
toothbrush,0.2506370482435142,0.05001838911364472,0.6428571428571429
transistor,0.5241692215078775,0.40935593220338984,0.74
zipper,0.5762741365390329,0.4166518504795215,0.6370370370370371
carpet,0.5608803509405458,0.4533564575603967,0.6239316239316239
grid,0.14152751489506363,0.014920715967435395,0.2948717948717949
leather,0.8273104172243424,0.7458290118632049,0.7580645161290323
tile,0.8342449464252658,0.7683786894718856,0.8632478632478633
wood,0.4098846439684003,0.20945531657953628,0.5294117647058824
MVTec(object),0.45213437527996725,0.30148473821381155,0.5437392795883362
MVTec(texture),0.6046179632525488,0.49768370445770405,0.6488095238095238
---,---,---,---
TAU=14
bottle,0.6951126113565365,0.623440093483047,0.8433734939759037
cable,0.6890400096518611,0.43212687696157664,0.5755395683453237
capsule,0.2248958609099896,0.08213799538948449,0.3333333333333333
hazelnut,0.42094736901655594,0.294558252452453,0.5545454545454546
metal_nut,0.675600048566143,0.633751673647412,0.8260869565217391
pill,0.34437340184173193,0.14847332003873154,0.38666666666666666
screw,0.03815122610788922,-0.013901833912566218,0.23125
toothbrush,0.23161548406865165,0.019319227230910764,0.6190476190476191
transistor,0.5241692215078775,0.40935593220338984,0.74
zipper,0.5481626118830665,0.4016713456294463,0.6
carpet,0.5655157865496927,0.4343786686791245,0.6410256410256411
grid,0.14356370230199214,0.020065025545750115,0.2948717948717949
leather,0.8798746997240682,0.8039652706615191,0.7983870967741935
tile,0.833000011086463,0.7626686792444533,0.8290598290598291
wood,0.4451615308631606,0.2012110430131608,0.4852941176470588
MVTec(object),0.4297275381137689,0.2949876211759844,0.5368782161234992
MVTec(texture),0.6234122300941765,0.5059397940209334,0.6488095238095238
---,---,---,---
TAU=18
bottle,0.6472117700396517,0.5472797866866258,0.8072289156626506
cable,0.6288792808274601,0.39880644877154975,0.5611510791366906
capsule,0.24103066048680938,0.08955725581731701,0.3484848484848485
hazelnut,0.36363352112873193,0.19308556915406194,0.509090909090909
metal_nut,0.5862892330241639,0.46897089280086446,0.6260869565217392
pill,0.37688129889250266,0.20490070570731383,0.42666666666666675
screw,0.051809497460898246,0.0006385058962028853,0.2625
toothbrush,0.2506370482435142,0.05001838911364472,0.6428571428571429
transistor,0.42578172673900283,0.3243783081993409,0.7100000000000001
zipper,0.5602248517578875,0.3511820073023865,0.5925925925925926
carpet,0.7090530899669133,0.5993710419881858,0.7008547008547008
grid,0.14356370230199214,0.020065025545750115,0.2948717948717949
leather,0.8484248290702119,0.768680314332865,0.7822580645161291
tile,0.9281885186471134,0.9136924378062876,0.9658119658119658
wood,0.37602221473061453,0.15194136478305537,0.4411764705882353
MVTec(object),0.4064569394250155,0.25783566266654057,0.5171526586620926
MVTec(texture),0.6617647349083027,0.563971966093343,0.6845238095238095
---,---,---,---
TAU=20
bottle,0.694541809929163,0.5928487244992682,0.8313253012048193
cable,0.6193902052795209,0.30899309339686465,0.4676258992805755
capsule,0.26310432131557915,0.08366334529603396,0.3560606060606061
hazelnut,0.35251223717191094,0.18550294588299263,0.5272727272727272
metal_nut,0.585663963547649,0.45538473096784693,0.6173913043478261
pill,0.38202655111821227,0.19222438418097734,0.4066666666666667
screw,0.04090109595519283,-0.012134800879847486,0.23125
toothbrush,0.21361274510346673,-0.007733044721122944,0.5952380952380952
transistor,0.42578172673900283,0.3243783081993409,0.7100000000000001
zipper,0.529527842556007,0.296654505403731,0.5037037037037037
carpet,0.6505271424751693,0.566092285010021,0.7692307692307693
grid,0.16040929236669807,0.03567787971457696,0.2948717948717949
leather,0.8327493288495678,0.7723758726250334,0.8225806451612904
tile,0.9099404614215907,0.898438767951085,0.9572649572649573
wood,0.37602221473061453,0.15194136478305537,0.4411764705882353
MVTec(object),0.40436021080822443,0.23587315991477964,0.49056603773584906
MVTec(texture),0.6426925830149832,0.5560310095732902,0.7083333333333334
