supervised
Category,NMI,ARI,F1
tile,0.8586077813471257,0.8064927447423995,0.8290598290598291
wood,0.7675702821410646,0.5405574317251831,0.8088235294117648
MVTec(object),0.5431441140807773,0.4154652856660452,0.6415094339622641
MVTec(texture),0.6355683952790886,0.5348151743197341,0.6805555555555556
---,---,---,---
TAU=4
bottle,0.5192629094601316,0.38902647992400174,0.6385542168674698
cable,0.6597157794169759,0.4108962241688803,0.5899280575539568
capsule,0.31391453181745776,0.19761504792602436,0.4696969696969697
hazelnut,0.7781786487622631,0.7665128387137251,0.8818181818181818
metal_nut,0.6203587072771961,0.4887788230362223,0.7130434782608696
pill,0.3064698443835493,0.06493350060244305,0.31333333333333335
screw,0.25636582296484345,0.09400333324588281,0.325
toothbrush,0.21361274510346673,-0.007733044721122944,0.5952380952380952
transistor,0.7331435319383836,0.8136151112773518,0.8599999999999999
zipper,0.6605928943930729,0.5144208862626359,0.6370370370370371
carpet,0.4965123695021968,0.40760818321645614,0.6068376068376068
grid,0.13631067949112297,0.027210884353741496,0.32051282051282054
leather,0.7571943328737717,0.6729395042897935,0.7338709677419355
tile,0.8492612463273659,0.792873515517602,0.8290598290598291
wood,0.7169492450259222,0.4925184717632644,0.7794117647058824
MVTec(object),0.5074031503327081,0.3698791059448444,0.5763293310463122
MVTec(texture),0.6165325237906286,0.5149098459192718,0.6686507936507936
---,---,---,---
TAU=8
bottle,0.5832052639166456,0.45351600454839647,0.6987951807228916
cable,0.6262064534547847,0.4028974720472706,0.5971223021582733
capsule,0.22054072355250207,0.032028557879216275,0.3106060606060606
hazelnut,0.5225751122728032,0.35013989781103666,0.6181818181818182
metal_nut,0.4543398779665081,0.3082449936888117,0.591304347826087
pill,0.3124530880469783,0.11274481348391192,0.36
screw,0.0515297837254017,-0.0008756359705893576,0.25
toothbrush,0.0008649049224797085,-0.007733044721122944,0.5952380952380952
transistor,0.492043389016266,0.3814283628522333,0.72
zipper,0.6433789601273201,0.4959027192529731,0.5925925925925926
carpet,0.3372417860851173,0.17025269648730607,0.4700854700854701
grid,0.1335735964691362,0.03348211061518684,0.32051282051282054
leather,0.7357792368562297,0.6614184461171854,0.7419354838709677
tile,0.7926616070192494,0.7105326768533946,0.8461538461538461
wood,0.6418666873830515,0.47032486692260916,0.6323529411764706
MVTec(object),0.3992298549648831,0.2516058708738863,0.5051457975986278
MVTec(texture),0.5505972175198879,0.4358362531311805,0.623015873015873
---,---,---,---
TAU=10
bottle,0.5297052355984517,0.42754841516256264,0.6987951807228916
cable,0.6364838006795738,0.3517455243381337,0.5467625899280576
capsule,0.22054072355250207,0.032028557879216275,0.3106060606060606
hazelnut,0.4420150697076654,0.2654653849967601,0.5636363636363636
metal_nut,0.42941731753866,0.31202745194269893,0.5130434782608696
pill,0.3133994092864789,0.13145501349649277,0.41999999999999993
screw,0.05174132557580549,-0.000847553979886097,0.25
toothbrush,0.0,-0.01839926402943882,0.5714285714285714
transistor,0.492043389016266,0.3814283628522333,0.72
zipper,0.7169952473925585,0.6387886438506397,0.7111111111111111
carpet,0.34956610275464384,0.15335055522898886,0.452991452991453
grid,0.1335735964691362,0.03348211061518684,0.32051282051282054
leather,0.6668609873065852,0.5369631801065659,0.6532258064516129
tile,0.8272867864662009,0.7836603806625861,0.905982905982906
wood,0.46608885062044775,0.29283805884722797,0.5147058823529411
MVTec(object),0.3952315851865989,0.254614444946929,0.5068610634648371
MVTec(texture),0.5208240730786479,0.3943220366311994,0.5952380952380952
---,---,---,---
TAU=12
bottle,0.6019193714946605,0.5038774858229106,0.783132530120482
cable,0.5039565844435892,0.2747309854535011,0.4892086330935252
capsule,0.21264940663909196,0.029021578513885364,0.30303030303030304
hazelnut,0.42225036842756897,0.25677939616724166,0.5272727272727272
metal_nut,0.4051141530472844,0.2836917870692276,0.4956521739130435
pill,0.25531186217370144,0.07343317158867647,0.3333333333333333
screw,0.05430364564170873,0.001656608564880102,0.25625
toothbrush,0.0,-0.01839926402943882,0.5714285714285714
transistor,0.5607577569269356,0.6004319130350383,0.7699999999999999
zipper,0.6880992242343915,0.6336361678431149,0.7333333333333333
carpet,0.45282516777555176,0.24282648146716515,0.47863247863247865
grid,0.1335735964691362,0.03348211061518684,0.32051282051282054
leather,0.6686489452031299,0.5443332658445802,0.6693548387096774
tile,0.6898042352190055,0.5188580847629489,0.7692307692307693
wood,0.46608885062044775,0.29283805884722797,0.5147058823529411
MVTec(object),0.37484493693705934,0.25797762756286374,0.49656946826758147
MVTec(texture),0.5133192296078064,0.3554345473080305,0.5734126984126984
---,---,---,---
TAU=14
bottle,0.6024441499925313,0.5436665524016479,0.7951807228915663
cable,0.5232287374817107,0.2803559079272737,0.49640287769784175
capsule,0.19673393315129345,0.04720551012641807,0.36363636363636365
hazelnut,0.32083903146591003,0.16120203646570427,0.4727272727272727
metal_nut,0.3639950211279921,0.2618531679711878,0.46956521739130436
pill,0.25544798652919226,0.09072828203771066,0.3466666666666667
screw,0.05430364564170873,0.001656608564880102,0.25625
toothbrush,0.0,-0.01839926402943882,0.5714285714285714
transistor,0.47839753731659135,0.503443599900082,0.7299999999999999
zipper,0.747107224314802,0.656102156267533,0.7407407407407407
carpet,0.3290817226107203,0.123995249487943,0.4444444444444444
grid,0.1335735964691362,0.03348211061518684,0.32051282051282054
leather,0.6648234001946105,0.49569830794026587,0.6451612903225806
tile,0.7233126311604243,0.5953068297025023,0.7777777777777778
wood,0.4393049976880343,0.24526458903945716,0.4558823529411764
MVTec(object),0.3615413973606239,0.24887645144833212,0.49656946826758147
MVTec(texture),0.4878169075054257,0.32721136931060063,0.5535714285714286
---,---,---,---
TAU=18
bottle,0.6706431222247511,0.5994967732800407,0.819277108433735
cable,0.5274118900267639,0.2977941494144518,0.5035971223021583
capsule,0.21267993885575298,0.054957541179320814,0.3560606060606061
hazelnut,0.2673906189082756,0.10665454833424406,0.42727272727272725
metal_nut,0.3731596755347281,0.2704929146985274,0.5043478260869565
pill,0.2705458194814364,0.10416320100580696,0.3466666666666667
screw,0.05357431999611753,0.0017826494400868286,0.25625
toothbrush,0.0,-0.01839926402943882,0.5714285714285714
transistor,0.42245836468741577,0.3485654983093971,0.7
zipper,0.6507813077564855,0.5479753902526584,0.6962962962962963
carpet,0.322091670378151,0.18656693765840876,0.4017094017094017
grid,0.1335735964691362,0.03348211061518684,0.32051282051282054
leather,0.6892487462671193,0.5491370371051236,0.6532258064516129
tile,0.7182871961548558,0.5850030101951615,0.7692307692307693
wood,0.36696594904791785,0.24095365592043527,0.47058823529411764
MVTec(object),0.3504535091691246,0.22745700032651556,0.4897084048027444
MVTec(texture),0.4812769781375707,0.35191097168745483,0.5456349206349206
---,---,---,---
TAU=20
bottle,0.615318781736032,0.5205272176413653,0.7469879518072289
cable,0.5384995851887393,0.30188665558590716,0.5035971223021583
capsule,0.23830671957182603,0.05229844017066463,0.3106060606060606
hazelnut,0.2673906189082756,0.10665454833424406,0.42727272727272725
metal_nut,0.37138071552518226,0.26738132116417,0.4956521739130435
pill,0.2594536894101215,0.10635187658051197,0.36
screw,0.0555724251221746,0.000853495433343829,0.25625
toothbrush,0.0,-0.01839926402943882,0.5714285714285714
transistor,0.3605592882916049,0.2938316520588722,0.68
zipper,0.6517352532708748,0.5893214691338391,0.6962962962962963
carpet,0.3644696163654598,0.20040141256573765,0.4700854700854701
grid,0.13032102635872744,0.019736346516007534,0.3076923076923077
leather,0.7308551961720572,0.6056316350943332,0.7096774193548389
tile,0.6731339546291323,0.5660853127709153,0.7094017094017093
wood,0.36696594904791785,0.24095365592043527,0.47058823529411764
MVTec(object),0.3442118079124421,0.2219625949828297,0.47855917667238423
MVTec(texture),0.490365846672503,0.36250308183913466,0.5595238095238095
